cluster_id,complaint_count,pending_ratio,high_priority_ratio,medium_or_high_ratio,avg_density_score,risk_score,risk_level,dominant_category,center_lat,center_lng
30,25,0.24,0.0,0.24,0.0006454451423296,0.14425817805693184,LOW,Pothole,40.55813175722377,-74.1231812850388
95,13,0.23076923076923078,0.0,0.23076923076923078,0.0006795839335990769,0.1387333720349781,LOW,Waste,40.66112901622206,-73.99637370681627
51,18,0.2222222222222222,0.0,0.2222222222222222,0.0007557948946250445,0.13363565129118335,LOW,Pothole,40.748592994769666,-73.88845668756205
19,14,0.21428571428571427,0.0,0.21428571428571427,0.0011679305660777218,0.12903860079785964,LOW,Pothole,40.66639943607658,-73.7403634515467
93,10,0.2,0.1,0.2,0.00345890998785447,0.12138356399514177,LOW,Water Supply,40.55320091167921,-74.15620316678012
88,11,0.18181818181818182,0.0,0.18181818181818182,0.0007593861584663546,0.10939466355429563,LOW,Pothole,40.71219661798224,-73.73183085361993
14,17,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.0005634616430059765,0.10610773759837885,LOW,Pothole,40.70835453954633,-74.00986849598388
25,74,0.16216216216216217,0.04054054054054054,0.16216216216216217,0.013684123757113874,0.10277094680014286,LOW,Pothole,40.76767031624731,-73.91688489892508
90,12,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.003570593697738333,0.10142823747909532,LOW,Pothole,40.75976148994378,-73.77423028092083
35,18,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0005538371327877611,0.1002215348531151,LOW,Waste,40.9026845039484,-73.84676942506333
39,13,0.15384615384615385,0.0,0.15384615384615385,0.0019500560090189077,0.09308771471129987,LOW,Water Supply,40.87160507403402,-73.86469131318583
29,13,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.00047950521334600766,0.0924994943930307,LOW,Waste,40.85856949682589,-73.86620721627716
52,16,0.125,0.0625,0.125,0.0005045765706740812,0.07520183062826963,LOW,Water Supply,40.86680811549678,-73.92084223237275
67,18,0.1111111111111111,0.0,0.1111111111111111,0.0018684575438756444,0.06741404968421692,LOW,Water Supply,40.87339887505122,-73.84945876491534
96,11,0.09090909090909091,0.0,0.09090909090909091,0.0005432355192628908,0.0547627487531597,LOW,Water Supply,40.82886101527499,-73.87611784307184
54,11,0.09090909090909091,0.0,0.09090909090909091,0.0004448207689609273,0.05472338285303892,LOW,Waste,40.620870259535124,-74.03497714037326
64,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.010603336636024583,0.054241334654409834,LOW,Pothole,40.70482207284105,-73.89532270440769
65,12,0.08333333333333333,0.0,0.08333333333333333,0.0012153664653471164,0.05048614658613884,LOW,Water Supply,40.596688250635474,-74.06756617289393
1,79,0.0759493670886076,0.06329113924050633,0.0759493670886076,0.001278054956264296,0.04608084223567027,LOW,Water Supply,40.84685863749305,-73.93700006865035
55,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.020633036924931986,0.04158654810330613,LOW,Water Supply,40.88541676741171,-73.84952178322177
0,16,0.0625,0.0,0.0625,0.0006978135314218751,0.037779125412568754,LOW,Water Supply,40.88630437018819,-73.86224093076088
70,10,0.0,0.0,0.0,0.004556966670557499,0.0018227866682229998,LOW,Pothole,40.625199405530246,-73.93017913049944
